Directory,Data Cube Score,% Change
community.airbnb.com/t5/Hosts/,"1,474",147422.30%
community.airbnb.com/t5/Hosts/AirBnB-calendar-does-not-sync-to-VRBO/,"1,468",146818.60%
community.airbnb.com/t5/General-Hosting/Air-Band-B-Payment/,454,45360.00%
community.airbnb.com/t5/General-Hosting/,473,3179.88%
community.airbnb.com/t5/Tips-Tricks/What-is-the-EIN-number-for-Airbnb-My-taxes-require-it/,6,584.80%
community.airbnb.com/t5/Hosts/Pennsylvania-State-Hotel-BACK-Taxes/,4,446.50%
community.airbnb.com/t5/General-Hosting/Vacuba/,4,352.00%
community.airbnb.com/t5/Traveling/,11,216.14%
community.airbnb.com/t5/Traveling/Can-we-negotiate-with-a-host-on-the-price/,11,216.14%
community.airbnb.com/t5/General-Hosting/What-is-the-Schedule-C-tax-Business-Code-for-Airbnb/,2,212.80%
community.airbnb.com/t5/Tips-Tricks/,10,192.29%
community.airbnb.com/t5/General-Hosting/Why-are-declined-reservations-considered-cancelled/,3,66.32%
community.airbnb.com/t5/General-Hosting/credt-card-payment-not-accepted/,3,64.77%
community.airbnb.com/t5/Tips-Tricks/What-s-the-best-quot-Floor-Plan-quot-software/,3,3.03%
